Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,test_routine.started,sound_stim.started,visual_stim.started,sound_stim.stopped,visual_stim.stopped,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
3,visual_first,1,2,9,5,41.257025600003544,,,,,,41.24333930001012,44.25775596665723,41.257025600003544,45.25811870000325,42.256963499996345,45.24895700000343,45.24903459998313,45.25811870000325,45.25811870000325,45.610414599999785,v,0.34026149997953326,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,audio_first,1,3,10,6,45.62483419998898,,,,,,45.611957199987955,45.62492366665198,48.62653149999096,,49.62640919999103,49.61133399998653,49.61139639999601,49.62640919999103,49.62640919999103,51.9293420999893,v,2.287952699989546,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,audio_first,1,4,11,2,51.943920799996704,,,,,,51.93075040000258,51.94405096664947,52.92809259999194,,53.92806089998339,53.91301220000605,53.913096200005384,53.92806089998339,53.92806089998339,56.931393699982436,b,2.995867999998154,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,visual_first,1,5,12,1,56.94632419999107,,,,,,56.93282009998802,57.94669106667085,56.94632419999107,,57.94634229998337,58.925182899984065,58.925250800006324,58.93199949999689,58.93199949999689,61.24959739999031,v,2.305620600003749,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
0,simulataneous,1,6,13,0,61.26460049999878,,,,,,61.251012099994114,61.264281366664605,61.26460049999878,,62.26459299999988,62.25007720000576,62.250138200004585,62.26459299999988,62.26459299999988,63.367504299996654,b,1.093659599981038,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
2,audio_first,2,0,14,4,63.381638199993176,,,,,,63.36895559998811,63.3816952666714,65.38287269999273,,66.38291980000213,66.36780829998315,66.3678712999972,66.38291980000213,66.38291980000213,67.2018693999853,s,0.8163559999957215,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,visual_first,2,1,15,1,67.21687539998675,,,,,,67.20320069999434,68.21732146665842,67.21687539998675,,68.21690739999758,69.18621389998589,69.18628110000282,69.1928595000063,69.1928595000063,69.63636289999704,v,0.43668610000167973,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
1,audio_first,2,2,16,2,69.65075199998682,,,,,,69.63778049999382,69.65074486667096,70.66169760000776,70.66169760000776,71.6681971999933,71.65303439999116,71.65309889998753,71.6681971999933,71.6681971999933,71.90432319999672,s,0.2338943999784533,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
0,simulataneous,2,3,17,0,71.91877660001046,,,,,,71.90573440000298,71.91828636665402,71.91877660001046,,72.91875379998237,72.9060962999938,72.90615910000633,72.91875379998237,72.91875379998237,73.68768860001,b,0.7567922000016551,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
3,visual_first,2,4,18,5,73.70270829999936,,,,,,73.68910250000772,76.70347726665592,73.70270829999936,,74.70267199998489,77.68730230000801,77.6873765999917,77.69441170000937,77.69441170000937,78.08954139999696,v,0.3821596000052523,None,p4,001,2024-12-06_18h38.15.873,soloproj6,2024.1.5,None,2024-12-06 18h38.34.574735 +0530,
