Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,test_routine.started,visual_stim.started,visual_stim.stopped,sound_stim.started,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,sound_stim.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,audio_first,1,2,9,2,45.450108300021384,,,,,45.43689130002167,46.43424840000807,47.43432460000622,45.45014266667228,47.419106000015745,47.41917000000831,47.43432460000622,47.43432460000622,47.60294020001311,b,0.16342319999239407,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
0,simulataneous,1,3,10,0,47.61810040002456,,,,,47.60436760002631,47.61810040002456,48.61812759999884,47.61764406666431,48.602905800013104,48.60296940000262,48.61812759999884,48.61812759999884,49.08691010001348,b,0.45477099998970516,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,audio_first,1,4,11,4,49.10151279999991,,,,,49.088345199998,51.10273270000471,52.102734500018414,49.10161236668161,52.08755130000645,52.087615900003584,52.102734500018414,52.102734500018414,52.705123400024604,s,0.5881724999926519,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,visual_first,1,5,12,5,52.719966000004206,,,,,52.706549800001085,52.719966000004206,53.719987900025444,55.72070096669292,56.688909300020896,56.688982899999246,56.69603580000694,56.69603580000694,57.15678640000988,v,0.4441281999752391,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,visual_first,1,6,13,3,57.17177490002359,,,,,57.15831120000803,57.17177490002359,58.17163230001461,59.17207836668628,60.16512460002559,60.16519720002543,60.17249040000024,60.17249040000024,60.60809300001711,s,0.4241335999977309,None,60.17249040000024,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,audio_first,2,0,14,6,60.6226518000185,,,,,60.60962010000367,63.62420450002537,64.6241757000098,60.622701566670244,64.60899610002525,64.60906200000318,64.6241757000098,64.6241757000098,65.14316910001799,s,0.5092658999783453,None,61.6230298000155,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,visual_first,2,1,15,3,65.158106900024,,,,,65.14460910001071,65.158106900024,66.15814200000023,67.1584092666783,68.12369269999908,68.12376890002633,68.13078860001406,68.13078860001406,68.66114670000388,v,0.5179386000090744,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
0,simulataneous,2,2,16,0,68.6761815000209,,,,,68.6625869999989,68.6761815000209,69.67652190002264,68.67572326667529,69.66991560001043,69.66998180001974,69.67652190002264,69.67652190002264,70.11164800002007,b,0.4233042999985628,None,69.67652190002264,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
3,visual_first,2,3,17,5,70.12666860001627,,,,,70.1131043000205,70.12666860001627,71.12658670000383,73.1274125666862,74.0613114000007,74.0613792000222,74.06795480000437,74.06795480000437,74.56365190001088,v,0.4863591000030283,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
2,audio_first,2,4,18,4,74.57801330002258,,,,,74.5651147000026,76.57916600001045,77.5791436000145,74.57806376667965,77.5639719000028,77.56403790001059,77.5791436000145,77.5791436000145,77.93130160000874,s,0.33620809999410994,None,,p5,001,2024-12-06_18h41.06.486,soloproj6,2024.1.5,None,2024-12-06 18h41.22.988741 +0530,
