key_resp.corr,key_resp.rt,,,,
1,0.3429295,,0.3429295,0.4004085,-0.057479
1,0.4299196,,0.4299196,0.4504283,-0.0205087
1,0.7522428,,0.7522428,0.4480914,0.3041514
1,0.4643212,,0.4643212,0.7756512,-0.31133
1,0.4602465,,0.4602465,0.4044225,0.055824
0,0.5517145,,0.5517145,0.5399702,0.0117443
1,0.3787786,,0.3787786,0.6219053,-0.2431267
1,0.6871663,,0.6871663,0.4036376,0.2835287
1,37.3602665,,37.3602665,0.442394,36.9178725
0,1.9902669,,1.9902669,55.7558912,-53.7656243
1,1.0739241,,1.0739241,19.9840713,-18.9101472
1,0.9113575,,0.9113575,0.4859704,0.4253871
1,0.6931775,,0.6931775,0.3704431,0.3227344
1,19.2590416,,,mean ,-0.319233885
1,0.6055241,,,,
1,0.5946036,,,,
1,1.5870733,,,,
1,0.7498676,,,,
1,0.5294557,,,,
1,0.6840348,,,,
1,0.4094144,,,,
1,0.4318299,,,,
1,0.3461796,,,,
1,0.4408523,,,,
1,0.4608138,,,,
1,0.4031256,,,,
1,0.3978929,,,,
1,0.3600425,,,,
1,0.4568964,,,,
1,0.5052936,,,,
1,0.4664231,,,,
1,0.4643625,,,,
1,0.3808104,,,,
1,0.4787046,,,,
1,0.4511831,,,,
1,0.5275747,,,,
1,0.4972697,,,,
1,0.8118153,,,,
1,0.4038784,,,,
1,0.3262677,,,,
1,0.9969716,,,,
1,0.3875838,,,,
0,0.4246691,,,,
1,0.511529,,,,
1,0.4002653,,,,
0,0.4296393,,,,
1,0.6495981,,,,
1,0.3224275,,,,
0,0.4251998,,,,
1,1.1402987,,,,
1,0.4207771,,,,
1,0.5435992,,,,
1,0.4187814,,,,
1,0.324263,,,,
1,0.64706,,,,
1,0.4002953,,,,
1,0.3515034,,,,
1,0.3839845,,,,
1,0.5296449,,,,
1,0.6501004,,,,
1,0.6900522,,,,
1,1.2115844,,,,
1,0.4729041,,,,
1,0.3764051,,,,
0,0.4811733,,,,
1,0.4196804,,,,
1,0.4609619,,,,
1,0.3172424,,,,
1,0.4256313,,,,
1,0.347985,,,,
1,0.3663741,,,,
1,0.4430369,,,,
1,0.3470826,,,,
1,0.4938958,,,,
1,0.4871542,,,,
1,0.3353196,,,,
1,0.567165,,,,
1,0.4353724,,,,
1,0.3884264,,,,
1,0.5917798,,,,
1,0.4012814,,,,
1,0.35711,,,,
1,0.4514261,,,,
1,0.3714228,,,,
1,0.5454163,,,,
1,0.470044,,,,
1,0.4528781,,,,
